country,cname,party_id,party_name,membership,eu_salience,eu_dissent,require_econ,require_pol,require_gov,lrgen,lrecon,lrecon_salience,galtan,galtan_salience,spendvtax,deregulation,redistribution,econ_interven,civlib_laworder,sociallifestyle,religious_principle,immigrate_policy,multiculturalism,urban_rural,environment,regions,international_security,ethnic_minorities,nationalism,antielite_salience,corrupt_salience,conflict_res,region_status,languages,russia_role,oligarchs
30,"bih",3001,"SDA",5.333333,6.388889,2.529412,4.277778,4.894737,4.157895,8,3.555556,5.888889,8.842105,5.105263,5.176471,4.5,5.875,3.125,6.125,8.647058,8.5625,4.125,5.714286,6.538462,6.666667,7.133333,3.066667,5.866667,8.058824,2.428571,4.0625,,,,,
30,"bih",3003,"SDP",5.210526,6.631579,2.235294,4.631579,5.473684,4.526316,3.421053,3.388889,6.333333,4.736842,4.421052,5.235294,4.642857,3.882353,3,5.411765,4.529412,2.75,5.142857,5.166667,3,6.666667,6.4,3.285714,3.133333,3.5,4.928571,5.125,,,,,
30,"bih",3004,"HDZ BiH",5.111111,5.842105,1.4375,4.105263,4.31579,3.789474,8.210526,3.588235,5.277778,8.631579,5.473684,5,5,6.2,3.5625,6.125,8.705882,8.875,5.625,6,5.833333,7.333333,3.066667,3.384615,5.8,8.647058,1.928571,3.9375,,,,,
30,"bih",3005,"HDZ 1990",6,6.894737,1.866667,5.68421,5.578948,5.31579,6.31579,4.722222,6.117647,6.526316,4.526316,5.933333,5.692307,5.066667,4.461538,5.714286,6.9375,6.823529,5,5.333333,4.384615,6.666667,3.8,3.8,4.533333,6.125,5.428571,6.8125,,,,,
30,"bih",3006,"SNSD",3.263158,2.947368,2.5,3.105263,3.052632,2.736842,6.947369,2.944444,5.555555,8.473684,5.578948,4.764706,4.571429,5.882353,2,6.222222,8.277778,8,7,6.333333,5.785714,7.428571,4.375,6.058824,6.25,8.882353,2.333333,3.764706,,,,,
30,"bih",3007,"SDS",5.166667,5.052631,2.066667,5.333333,4.578948,4.947369,7.947369,4.222222,6.722222,8.421053,4.894737,6.058824,5.615385,5.294117,4.133333,6.529412,8.277778,8.294118,6.625,5.333333,6.642857,6.571429,4.266667,5.411765,5.666667,8.588235,7.333333,8.058824,,,,,
30,"bih",3008,"DF",6.210526,7.842105,1.411765,5.894737,6.263158,6.052631,4,4.388889,7.166667,4.210526,4.842105,5.866667,5.4,2.875,4.125,5.352941,3.764706,1.875,4.285714,4,3.076923,6.333333,6.733333,3.083333,2.933333,2.8125,8.230769,8.6,,,,,
30,"bih",3009,"SBB BiH",6.222222,7.368421,1.1875,5.947369,6,5.631579,5.947369,5.555555,7.111111,6.31579,4.368421,6.588235,6.4,4.8125,5.266667,6.3125,6.529412,4.75,4,4.666667,4.615385,7,6.866667,3.466667,4.2,6.0625,8.307693,8.25,,,,,
30,"bih",3010,"BPS",4.764706,4.764706,1.5,4.428571,4.25,4.538462,7.3125,4.444445,5.222222,8.1875,5.388889,4.625,4.875,4.8,3.571429,7.066667,7.8,6.636364,5.8,7.4,5.75,6.2,7,3.75,5.6,8,6.153846,6.733333,,,,,
30,"bih",3011,"PDP",5.823529,6.157895,1.066667,5.833333,5.444445,5.611111,6.31579,4.833333,7.444445,5.882353,5,6.375,6.214286,5.352941,5.1875,5.411765,6.444445,5.9375,6.142857,4.857143,4.357143,6.142857,3.875,5.333333,5.0625,6.352941,7.266667,8.235294,,,,,
30,"bih",3012,"NDP",5.8125,5.833333,1.307692,5.866667,4.933333,5.571429,6,4.5,6.833333,6.615385,5.421052,6,5.615385,5.066667,4.733333,5.625,6.25,6,6.142857,4.285714,4.5,6.142857,4.642857,5.583333,4.5,6.2,7.153846,8.133333,,,,,
30,"bih",3013,"DNS",4.285714,3.944444,1.166667,4.142857,3.666667,3.642857,7.266667,3.142857,5.722222,7.928571,5.421052,5,5,6.153846,2.666667,5.923077,8.2,7.916667,6.571429,6,6.166667,7.142857,4,6.083333,6.153846,8.333333,3.461539,4.714286,,,,,
32,"mkd",3201,"VMRO-DPMNE",3.75,4.791667,2.157895,4.434783,3,3,7.75,4.25,7.291667,9.541667,6.958333,4.416667,5.565217,6.714286,3.391304,7.047619,8.761905,8.521739,6,6.705883,6.571429,7.181818,7.26087,2.904762,7,8.869565,5.409091,3.565217,,,,,
32,"mkd",3202,"SDSM",5.869565,8.041667,2.9,5.478261,5.347826,5.375,3.416667,4.375,7,4.041667,6.208333,4.708333,5.391304,3.666667,4.608696,3.285714,3.75,2.913043,4.882353,4.235294,3.476191,4.909091,4.565217,2.619048,4.571429,3.782609,5.272727,7.652174,,,,,
32,"mkd",3204,"DUI",4.833333,7,2.05,4.652174,4.5,3.875,5.625,4.416667,5.666667,7.75,5.083333,4.428571,5.380952,5.1,3.5,5.047619,7.714286,6.521739,4.411765,4.4375,5.666667,6.666667,4.454545,2.809524,1.190476,8.521739,3.636364,3.347826,,,,,
32,"mkd",3205,"DPA",4.5,5.666667,2.85,4.380952,4.181818,4.136364,7.416667,4.952381,4.416667,8.318182,4.458333,5.2,5.722222,5.333333,4.647059,5.368421,7.7,6.652174,4.214286,5.071429,6.31579,6.555555,4.636364,3.055556,1.380952,8.869565,5.142857,5.130435,,,,,
32,"mkd",3208,"GROM",4.636364,5.875,1.625,4.578948,4.25,4.428571,4.55,4.055555,5.833333,5.7,4.958333,3.882353,6,4.785714,4.866667,4.214286,5.071429,3.714286,5,4.538462,3.916667,6.125,4.388889,3.214286,4.733333,5,4.625,4.6,,,,,
32,"mkd",3209,"NDP",5.1,7,1.4,5.214286,4.647059,4.947369,6.588235,4.611111,6.125,7.117647,5.25,5.4,6.833333,5.272727,5,4.166667,5.538462,5.25,3.6,3.5,5.25,6,3.705882,2.916667,1.125,7.722222,5.5,5.153846,,,,,
33,"ser",3302,"DS",6.409091,8.090909,1,5.476191,6.636364,5.818182,4.2,4.2,6.904762,3.285714,5.904762,4.8,5.333333,4.523809,4.476191,3.590909,3.136364,3.318182,4.142857,3.230769,3.166667,5,4.272727,2.647059,2.809524,3.590909,5,6.047619,,,,,
33,"ser",3303,"DSS",1.772727,5.318182,2.25,2.95,2.238095,3.1,7.45,4.789474,4.952381,8,6.666667,4.235294,3.526316,5.052631,4.05,6.818182,8.238095,7.590909,6.375,7.071429,5.411765,5.363636,8.05,8.470589,7.285714,8.454545,6.235294,5.588235,,,,,
33,"ser",3307,"SPS",5.545455,6.636364,3.35,4.45,5.095238,4.772727,3.3,2.4,6.666667,5.666667,4.571429,3.05,3.25,3.190476,2.7,6.181818,6.095238,3.909091,5.4,4.75,5.944445,6,6.095238,4.2,4.523809,5.714286,4.631579,5.5,,,,,
33,"ser",3308,"LDP",6.772727,8.545455,.5238096,6.619048,6.909091,6.25,4.526316,7.2,7.190476,1.333333,7.952381,5.7,7.190476,6.571429,7.238095,1.818182,.7727273,.7272727,2.222222,1.466667,1.555556,4.933333,2.409091,1.230769,1.285714,.9545454,4.176471,5.857143,,,,,
33,"ser",3310,"SNS",6.090909,8.090909,4.05,5.75,5.619048,5.476191,6.1,4.8,8.380953,7.333333,4.761905,4.6,4.714286,4.190476,4.2,7.5,6.809524,5.428571,5.4,6,6,6.5,6.904762,4,5,6.545455,5,8.714286,,,,,
33,"ser",3311,"SDP",5.952381,7.136364,1.529412,5.368421,6.210526,5.611111,3.684211,3.368421,6.809524,4.31579,4.809524,3.533333,4.117647,3.684211,3.5,4.444445,4.047619,3.210526,4.5,3.166667,4.1875,5.181818,4.166667,3.6,2.3,3.7,3.333333,6.357143,,,,,
33,"ser",3312,"PUPS",4.5,4.136364,2.941176,3.05,4.529412,4.263158,2.631579,1.578947,7.2,7.333333,4,2.235294,2.263158,2.3,2.45,5.928571,7.6,4.533333,5.333333,6.166667,5.588235,6.4,6,5.125,4.846154,5.647059,4.642857,4.8,,,,,
33,"ser",3313,"SDS",6.473684,8.045455,.8947368,5.888889,6.631579,5.842105,4.294117,4.222222,7.047619,3.117647,6.571429,4.642857,5,4.117647,4.75,3.9375,3.222222,3.3,3.833333,2.909091,3.066667,4.642857,4.352941,2.705882,2.882353,3.631579,4.733333,6,,,,,
33,"ser",3314,"LSV",6.523809,7.857143,.5,6.111111,6.8,6.055555,3.526316,4.368421,6.65,2.095238,6.809524,4.75,5.4,4.444445,4.823529,2.65,2.285714,1.636364,3.714286,2.272727,3.8125,4.916667,1,2.181818,1.095238,1.619048,4.823529,5.9375,,,,,
33,"ser",3315,"Dveri",1.4,3.818182,.2777778,1.944444,1.35,2.105263,9.058824,3.615385,3.65,9.714286,8.380953,2.909091,2.071429,3,2.714286,8.714286,9.909091,9.5,8,9.1875,6.666667,4.75,9.111111,9.3125,8.809524,9.636364,8,7.1875,,,,,
41,"alb",4101,"PS",6.6,8.866667,.8,6.466667,6.533333,6.266667,3.6,3.133333,8.466666,3.8,3.733333,1.785714,3.833333,2.5,2.428571,8.357142,3.142857,3.307692,5.428571,5.5,4.714286,4.642857,5.714286,2.571429,4,2.714286,3.142857,8.142858,,,,,
41,"alb",4102,"LSI",6.4,8.933333,.7333333,6.2,6.533333,6.066667,3.8,3.6,8,4.533333,3.733333,2.571429,3.916667,3.416667,2.857143,7.214286,3.384615,3,5,4.333333,4.571429,4.928571,5.615385,2.714286,4.142857,3.357143,3.142857,5.5,,,,,
41,"alb",4103,"PBDNJ",5.666667,7.8,1.307692,5.666667,6.928571,5.928571,4.384615,4.3,5.2,4.454545,3.933333,4.375,4.4,3.6,4.75,6.3,4.125,4.4,5.8,4.8,6.1,5.25,5.2,2,1,3.416667,3.916667,5.454545,,,,,
41,"alb",4104,"PKDSH",5.454545,6.857143,1.833333,5.363636,6.5,5.454545,5.4,4.888889,4.615385,6.25,4.571429,5.333333,4.8,4.75,4.428571,5.142857,5.8,5.2,5.4,5.4,6.111111,5.375,6.428571,1.888889,3.555556,4.333333,4.1,5.8,,,,,
41,"alb",4105,"PD",5.466667,8.466666,1.266667,5.692307,6.285714,5.466667,6.733333,7.2,8.733334,5.733333,4.266667,6.928571,6.909091,7.333333,7,5.642857,5.214286,4,5.333333,5.5,4.846154,6.5,5.285714,2.5,3.571429,4.857143,4.357143,7.5,,,,,
41,"alb",4106,"PR",5.615385,7.533333,.6153846,5.153846,6.307693,5.384615,7.133333,7.133333,6.2,6.933333,4.333333,6.818182,7.428571,7.272727,6.6,5.25,6.5,5,5.333333,5.5,4.923077,5.909091,5.4,2.384615,3.75,6,4.384615,6.181818,,,,,
41,"alb",4107,"PDIU",6.307693,7.2,1.5,5.636364,5.857143,6,6.2,6.333333,4.6,6.733333,4.466667,6.285714,5.857143,6.2,6,6.111111,6.3,5.454545,4.8,5.666667,5.888889,5.428571,6.2,2.666667,4.538462,7.928571,3.833333,5.545455,,,,,
42,"kos",4201,"PDK",6.071429,8.846154,1.692308,5.615385,5.153846,4.923077,5.461538,6.25,6.75,4.923077,3.538461,4.846154,6.846154,6,6.615385,4.5,4.636364,2.615385,5.714286,4.666667,5.384615,6.5,3.769231,2.272727,3.461539,4.153846,2.636364,3.538461,,,,,
42,"kos",4202,"LDK",6.142857,8.538462,1.461538,5.846154,6,5.153846,5.692307,6.25,6.75,5.461538,3.384615,5.230769,6.692307,6.166667,6.769231,5.166667,5.272727,2.230769,5.714286,4.666667,4.076923,6.5,4.076923,2.272727,4.076923,4.461538,3.363636,4.615385,,,,,
42,"kos",4203,"LV",5.142857,6,3.75,3.384615,4.083333,6.083333,2.384615,2.166667,7.416667,4,3.692308,3,2.461539,1.333333,1.384615,6.416667,3.583333,3.307692,4.714286,3.666667,5.846154,5.454545,6.75,3.4,7,7.692307,8.25,8.230769,,,,,
42,"kos",4204,"AAK",6,8.230769,1.166667,5.846154,5.615385,5.230769,6.307693,6.75,6.5,5.307693,3.384615,5.5,7,6.636364,7,5.333333,5,1.153846,6.285714,4.333333,4.846154,7.2,4.153846,2.363636,4.25,4.75,4.181818,5.307693,,,,,
